,rank,link,year,director,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews,Chinese_title,movie_length,main_country_region,main_language
0,1,https://movie.douban.com/subject/1292052/,1994,弗兰克·德拉邦特,9.6,1326471,1684511,165409,262048,7472,肖申克的救赎,142,美国,英语
1,2,https://movie.douban.com/subject/1291546/,1993,陈凯歌,9.6,979656,1354055,173918,212714,6198,霸王别姬,171,中国大陆,汉语普通话
2,3,https://movie.douban.com/subject/1295644/,1994,吕克·贝松,9.4,1214394,1759981,150271,223117,4404,这个杀手不太冷,110,法国,英语
3,4,https://movie.douban.com/subject/1292720/,1994,罗伯特·泽米吉斯,9.4,1045020,1485661,132245,173452,3824,阿甘正传,142,美国,英语
4,5,https://movie.douban.com/subject/1292063/,1997,罗伯托·贝尼尼,9.5,611313,776431,228473,128781,3028,美丽人生,116,意大利,意大利语
5,6,https://movie.douban.com/subject/1292722/,1997,詹姆斯·卡梅隆,9.3,981683,1367886,67032,152316,2315,泰坦尼克号,194,美国,英语
6,7,https://movie.douban.com/subject/1291561/,2001,宫崎骏,9.3,972767,1259340,98948,159547,3038,千与千寻,125,日本,日语
7,8,https://movie.douban.com/subject/1295124/,1993,史蒂文·斯皮尔伯格,9.5,546035,723183,210105,84683,1804,辛德勒的名单,195,美国,英语
8,9,https://movie.douban.com/subject/3541415/,2010,克里斯托弗·诺兰,9.3,1058478,1491649,155558,218285,5368,盗梦空间,148,美国,英语
9,10,https://movie.douban.com/subject/3011091/,2009,拉斯·霍尔斯道姆,9.3,690914,1079034,131977,157376,3055,忠犬八公的故事,93,美国,英语
10,11,https://movie.douban.com/subject/2131459/,2008,安德鲁·斯坦顿,9.3,702316,949294,127687,123550,2547,机器人总动员,98,美国,英语
11,12,https://movie.douban.com/subject/3793023/,2009,拉吉库马尔·希拉尼,9.2,946446,1253696,85503,205078,3940,三傻大闹宝莱坞,171,印度,印地语
12,13,https://movie.douban.com/subject/1292001/,1998,朱塞佩·托纳多雷,9.2,782369,1059554,175559,143587,5190,海上钢琴师,165,意大利,英语
13,14,https://movie.douban.com/subject/1291549/,2004,克里斯托夫·巴拉蒂,9.3,653994,949296,153569,111749,2318,放牛班的春天,97,法国,法语
14,15,https://movie.douban.com/subject/1292064/,1998,彼得·威尔,9.2,716456,978279,172462,139090,4064,楚门的世界,103,美国,英语
15,16,https://movie.douban.com/subject/1292213/,1995,刘镇伟,9.2,729431,996350,78573,122273,3510,大话西游之大圣娶亲,95,香港,粤语
16,17,https://movie.douban.com/subject/1889243/,2014,克里斯托弗·诺兰,9.2,743621,984628,120679,193851,4535,星际穿越,169,美国,英语
17,18,https://movie.douban.com/subject/1291560/,1988,宫崎骏,9.2,643926,891182,187847,119553,1782,龙猫,86,日本,日语
18,19,https://movie.douban.com/subject/1291841/,1972,弗朗西斯·福特·科波拉,9.2,476179,637263,179255,77437,1207,教父,175,美国,英语
19,20,https://movie.douban.com/subject/5912992/,2011,黄东赫,9.3,416187,531110,154788,107791,3116,熔炉,125,韩国,韩语
20,21,https://movie.douban.com/subject/1307914/,2002,刘伟强,9.1,598033,862564,87771,84287,963,无间道,101,香港,粤语
21,22,https://movie.douban.com/subject/1849031/,2006,加布里埃莱·穆奇诺,9.0,764563,1044444,101331,123063,3361,当幸福来敲门,117,美国,英语
22,23,https://movie.douban.com/subject/25662329/,2016,拜伦·霍华德,9.2,812228,996423,47964,189593,3159,疯狂动物城,109,美国,英语
23,24,https://movie.douban.com/subject/3319755/,2010,罗伯·莱纳,9.0,840115,1136968,178480,210814,4811,怦然心动,90,美国,英语
24,25,https://movie.douban.com/subject/6786002/,2011,奥利维埃·纳卡什,9.2,502085,664410,230379,122111,2181,触不可及,112,法国,法语
25,26,https://movie.douban.com/subject/1300267/,1939,维克多·弗莱明,9.2,356214,485036,143762,69177,1509,乱世佳人,238,美国,英语
26,27,https://movie.douban.com/subject/1851857/,2008,克里斯托弗·诺兰,9.1,485514,669995,85804,85062,1808,蝙蝠侠：黑暗骑士,152,美国,英语
27,28,https://movie.douban.com/subject/1292365/,1994,张艺谋,9.2,391785,527918,157098,79935,1963,活着,132,中国大陆,汉语普通话
28,29,https://movie.douban.com/subject/1929463/,2012,李安,9.0,772076,1009105,113212,194298,6983,少年派的奇幻漂流,127,美国,英语
29,30,https://movie.douban.com/subject/1291828/,1988,朱塞佩·托纳多雷,9.2,386009,512575,186918,69980,2252,天堂电影院,155,意大利,意大利语
30,31,https://movie.douban.com/subject/1291858/,2000,姜文,9.2,321710,446331,140749,60271,1365,鬼子来了,139,中国大陆,汉语普通话
31,32,https://movie.douban.com/subject/1293182/,1957,西德尼·吕美特,9.4,230017,285438,156887,52617,1366,十二怒汉,96,美国,英语
32,33,https://movie.douban.com/subject/1296141/,1957,比利·怀德,9.6,163564,190202,138697,48478,546,控方证人,116,美国,英语
33,34,https://movie.douban.com/subject/1291552/,2003,彼得·杰克逊,9.1,385777,532802,50425,43690,520,指环王3：王者无敌,201,美国,英语
34,35,https://movie.douban.com/subject/1291583/,1986,宫崎骏,9.1,451486,606174,114717,58496,859,天空之城,125,日本,日语
35,36,https://movie.douban.com/subject/2129039/,2009,彼特·道格特,8.9,687903,938972,107209,113892,2470,飞屋环游记,96,美国,英语
36,37,https://movie.douban.com/subject/1292000/,1999,大卫·芬奇,9.0,499187,646825,148483,100985,2291,搏击俱乐部,139,美国,英语
37,38,https://movie.douban.com/subject/1299398/,1995,刘镇伟,8.9,588043,852950,35336,57655,595,大话西游之月光宝盒,87,香港,粤语
38,39,https://movie.douban.com/subject/26387939/,2016,涅提·蒂瓦里,9.0,723596,1047986,93147,187485,7713,摔跤吧！爸爸,161,印度,印地语
39,40,https://movie.douban.com/subject/1293839/,1953,威廉·惠勒,9.0,516629,789734,133468,86666,1029,罗马假日,118,美国,英语
40,41,https://movie.douban.com/subject/1308807/,2004,宫崎骏,9.0,495845,649799,71662,74976,992,哈尔的移动城堡,119,日本,日语
41,42,https://movie.douban.com/subject/1900841/,2006,弗洛里安·亨克尔·冯·多纳斯马尔克,9.1,307038,430962,198097,68130,1906,窃听风暴,137,德国,德语
42,43,https://movie.douban.com/subject/1298624/,1992,马丁·布莱斯特,9.0,439133,616111,160764,85686,2138,闻香识女人,157,美国,英语
43,44,https://movie.douban.com/subject/21937445/,2013,杨宇硕,9.2,303075,400046,144715,71640,1459,辩护人,127,韩国,韩语
44,45,https://movie.douban.com/subject/1293350/,1998,盖·里奇,9.1,342008,443356,161285,66080,622,两杆大烟枪,107,英国,英语
45,46,https://movie.douban.com/subject/1292224/,1975,米洛斯·福尔曼,9.1,345026,464644,182033,65613,1977,飞越疯人院,133,美国,英语
46,47,https://movie.douban.com/subject/1291548/,1989,彼得·威尔,9.0,375061,483911,160056,80659,3148,死亡诗社,128,美国,英语
