rank,link,title,year,director,length,country_region,language,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews
1,https://movie.douban.com/subject/1292052/,肖申克的救赎 The Shawshank Redemption,1994,弗兰克·德拉邦特,142,美国,英语,9.6,1326471,1684511,165409,262048,7472
2,https://movie.douban.com/subject/1291546/,霸王别姬,1993,陈凯歌,171 ,中国大陆 / 香港,汉语普通话,9.6,979656,1354055,173918,212714,6198
3,https://movie.douban.com/subject/1295644/,这个杀手不太冷 Léon,1994,吕克·贝松,110分钟(剧场,法国,英语 / 意大利语 / 法语,9.4,1214394,1759981,150271,223117,4404
4,https://movie.douban.com/subject/1292720/,阿甘正传 Forrest Gump,1994,罗伯特·泽米吉斯,142,美国,英语,9.4,1045020,1485661,132245,173452,3824
5,https://movie.douban.com/subject/1292063/,美丽人生 La vita è bella,1997,罗伯托·贝尼尼,116,意大利,意大利语 / 德语 / 英语,9.5,611313,776431,228473,128781,3028
6,https://movie.douban.com/subject/1292722/,泰坦尼克号 Titanic,1997,詹姆斯·卡梅隆,194,美国,英语 / 意大利语 / 德语 / 俄语,9.3,981683,1367886,67032,152316,2315
7,https://movie.douban.com/subject/1291561/,千与千寻 千と千尋の神隠し,2001,宫崎骏,125,日本,日语,9.3,972767,1259340,98948,159547,3038
8,https://movie.douban.com/subject/1295124/,辛德勒的名单 Schindler's List,1993,史蒂文·斯皮尔伯格,195,美国,英语 / 希伯来语 / 德语 / 波兰语,9.5,546035,723183,210105,84683,1804
9,https://movie.douban.com/subject/3541415/,盗梦空间 Inception,2010,克里斯托弗·诺兰,148,美国 / 英国,英语 / 日语 / 法语,9.3,1058478,1491649,155558,218285,5368
10,https://movie.douban.com/subject/3011091/,忠犬八公的故事 Hachi: A Dog's Tale,2009,拉斯·霍尔斯道姆,93,美国 / 英国,英语 / 日语,9.3,690914,1079034,131977,157376,3055
11,https://movie.douban.com/subject/2131459/,机器人总动员 WALL·E,2008,安德鲁·斯坦顿,98,美国,英语,9.3,702316,949294,127687,123550,2547
12,https://movie.douban.com/subject/3793023/,三傻大闹宝莱坞 3 Idiots,2009,拉吉库马尔·希拉尼,171分钟(印,印度,印地语 / 乌尔都语 / 英语,9.2,946446,1253696,85503,205078,3940
13,https://movie.douban.com/subject/1292001/,海上钢琴师 La leggenda del pianista sull'oceano,1998,朱塞佩·托纳多雷,165,意大利,英语 / 法语 / 意大利语,9.2,782369,1059554,175559,143587,5190
14,https://movie.douban.com/subject/1291549/,放牛班的春天 Les choristes,2004,克里斯托夫·巴拉蒂,97,法国 / 瑞士 / 德国,法语,9.3,653994,949296,153569,111749,2318
15,https://movie.douban.com/subject/1292064/,楚门的世界 The Truman Show,1998,彼得·威尔,103,美国,英语,9.2,716456,978279,172462,139090,4064
16,https://movie.douban.com/subject/1292213/,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995,刘镇伟,95,香港 / 中国大陆,粤语 / 汉语普通话,9.2,729431,996350,78573,122273,3510
